1.077000000000000000e+03,9.300000000000000000e+02
1.097000000000000000e+03,7.780000000000000000e+02
1.101000000000000000e+03,6.500000000000000000e+02
1.181000000000000000e+03,9.450000000000000000e+02
1.181000000000000000e+03,7.800000000000000000e+02
1.197000000000000000e+03,6.580000000000000000e+02
1.149000000000000000e+03,6.290000000000000000e+02
1.057000000000000000e+03,6.280000000000000000e+02
1.225000000000000000e+03,6.360000000000000000e+02
1.069000000000000000e+03,5.400000000000000000e+02
1.236000000000000000e+03,5.570000000000000000e+02
1.083000000000000000e+03,4.310000000000000000e+02
1.216000000000000000e+03,4.240000000000000000e+02
1.152000000000000000e+03,3.210000000000000000e+02
1.156000000000000000e+03,3.900000000000000000e+02
